base,digits,attractor_id,transient_depth,state_count_all,state_percentage_all,state_count_valid,state_percentage_valid
6,5,31533 -> 35552,1,798,10.262345679012345,798,10.27027027027027
6,5,31533 -> 35552,2,830,10.673868312757202,830,10.682110682110682
6,5,31533 -> 35552,3,700,9.002057613168724,700,9.00900900900901
6,5,41532,0,1,0.01286008230452675,1,0.01287001287001287
6,5,41532,1,919,11.818415637860083,919,11.827541827541827
6,5,41532,2,420,5.401234567901234,420,5.405405405405405
6,5,41532,3,1160,14.91769547325103,1160,14.929214929214929
6,5,41532,4,1780,22.890946502057613,1780,22.90862290862291
6,5,41532,5,870,11.188271604938272,870,11.196911196911197
6,5,41532,6,290,3.7294238683127574,290,3.7323037323037322
6,6,000000,0,1,0.0021433470507544582,0,0.0
6,6,000000,1,5,0.010716735253772291,0,0.0
6,6,205544 -> 525521 -> 432222,0,3,0.006430041152263375,3,0.006430868167202572
6,6,205544 -> 525521 -> 432222,1,2817,6.0378086419753085,2817,6.038585209003215
6,6,205544 -> 525521 -> 432222,2,2040,4.372427983539095,2040,4.372990353697749
6,6,205544 -> 525521 -> 432222,3,5100,10.931069958847736,5100,10.932475884244372
6,6,205544 -> 525521 -> 432222,4,5000,10.71673525377229,5000,10.718113612004288
6,6,205544 -> 525521 -> 432222,5,6380,13.674554183813443,6380,13.67631296891747
6,6,205544 -> 525521 -> 432222,6,4140,8.873456790123457,4140,8.87459807073955
6,6,205544 -> 525521 -> 432222,7,1280,2.7434842249657065,1280,2.7438370846730975
6,6,325523,0,1,0.0021433470507544582,1,0.0021436227224008574
6,6,325523,1,629,1.3481652949245542,629,1.3483386923901393
6,6,420432,0,1,0.0021433470507544582,1,0.0021436227224008574
6,6,420432,1,2639,5.6562928669410155,2639,5.657020364415863
6,6,420432,2,4920,10.545267489711934,4920,10.546623794212218
6,6,420432,3,3360,7.20164609053498,3360,7.202572347266881
6,6,420432,4,1620,3.4722222222222223,1620,3.472668810289389
6,6,420432,5,660,1.4146090534979423,660,1.414790996784566
6,6,530421,0,1,0.0021433470507544582,1,0.0021436227224008574
6,6,530421,1,2759,5.91349451303155,2759,5.914255091103966
6,6,530421,2,2040,4.372427983539095,2040,4.372990353697749
6,6,530421,3,1260,2.700617283950617,1260,2.7009646302250805
7,2,00,0,1,2.0408163265306123,0,0.0
7,2,00,1,6,12.244897959183673,0,0.0
7,2,00,2,6,12.244897959183673,6,14.285714285714286
7,2,00,3,12,24.489795918367346,12,28.571428571428573
7,2,00,4,24,48.97959183673469,24,57.142857142857146
7,3,000,0,1,0.2915451895043732,0,0.0
7,3,000,1,6,1.749271137026239,0,0.0
7,3,264 -> 363,0,2,0.5830903790087464,2,0.5952380952380952
7,3,264 -> 363,1,142,41.39941690962099,142,42.26190476190476
7,3,264 -> 363,2,60,17.49271137026239,60,17.857142857142858
7,3,264 -> 363,3,96,27.988338192419825,96,28.571428571428573
7,3,264 -> 363,4,36,10.495626822157435,36,10.714285714285714
7,4,0000,0,1,0.04164931278633902,0,0.0
7,4,0000,1,6,0.24989587671803415,0,0.0
7,4,3054 -> 5052 -> 5232,0,3,0.12494793835901707,3,0.12531328320802004
7,4,3054 -> 5052 -> 5232,1,477,19.866722199083714,477,19.924812030075188
7,4,3054 -> 5052 -> 5232,2,1032,42.982090795501875,1032,43.1077694235589
7,4,3054 -> 5052 -> 5232,3,750,31.236984589754268,750,31.328320802005013
7,4,3054 -> 5052 -> 5232,4,132,5.497709287796751,132,5.513784461152882
7,5,00000,0,1,0.005949901826619861,0,0.0
7,5,00000,1,6,0.035699410959719166,0,0.0
7,5,40653 -> 61641 -> 54612 -> 52632 -> 42633,0,5,0.029749509133099303,5,0.02976190476190476
7,5,40653 -> 61641 -> 54612 -> 52632 -> 42633,1,4655,27.696793002915452,4655,27.708333333333332
7,5,40653 -> 61641 -> 54612 -> 52632 -> 42633,2,4680,27.84554054858095,4680,27.857142857142858
7,5,40653 -> 61641 -> 54612 -> 52632 -> 42633,3,3080,18.32569762598917,3080,18.333333333333332
7,5,40653 -> 61641 -> 54612 -> 52632 -> 42633,4,1420,8.448860593800202,1420,8.452380952380953
7,5,40653 -> 61641 -> 54612 -> 52632 -> 42633,5,2520,14.993752603082049,2520,15.0
7,5,40653 -> 61641 -> 54612 -> 52632 -> 42633,6,440,2.6179568037127385,440,2.619047619047619
7,6,000000,0,1,0.0008499859752314087,0,0.0
7,6,000000,1,6,0.005099915851388452,0,0.0
