digit_multiset,class_size,members,distinct_digits,is_repdigit_class,x,y,first_result,first_result_state,distance_after_first_to_6174,member_distance_values_to_6174,member_distance_min_to_6174,member_distance_max_to_6174,all_members_same_distance,member_iterations_to_attractor_min,member_iterations_to_attractor_max,final_attractors
0126,24,0126 0162 0216 0261 0612 0621 1026 1062 1206 1260 1602 1620 2016 2061 2106 2160 2601 2610 6012 6021 6102 6120 6201 6210,4,False,6,1,6084,6084,6,7,7,7,True,7,7,6174
0127,24,0127 0172 0217 0271 0712 0721 1027 1072 1207 1270 1702 1720 2017 2071 2107 2170 2701 2710 7012 7021 7102 7120 7201 7210,4,False,7,1,7083,7083,2,3,3,3,True,3,3,6174
0128,24,0128 0182 0218 0281 0812 0821 1028 1082 1208 1280 1802 1820 2018 2081 2108 2180 2801 2810 8012 8021 8102 8120 8201 8210,4,False,8,1,8082,8082,2,3,3,3,True,3,3,6174
0129,24,0129 0192 0219 0291 0912 0921 1029 1092 1209 1290 1902 1920 2019 2091 2109 2190 2901 2910 9012 9021 9102 9120 9201 9210,4,False,9,1,9081,9081,3,4,4,4,True,4,4,6174
0133,12,0133 0313 0331 1033 1303 1330 3013 3031 3103 3130 3301 3310,3,False,3,2,3177,3177,4,5,5,5,True,5,5,6174
0134,24,0134 0143 0314 0341 0413 0431 1034 1043 1304 1340 1403 1430 3014 3041 3104 3140 3401 3410 4013 4031 4103 4130 4301 4310,4,False,4,2,4176,4176,1,2,2,2,True,2,2,6174
0135,24,0135 0153 0315 0351 0513 0531 1035 1053 1305 1350 1503 1530 3015 3051 3105 3150 3501 3510 5013 5031 5103 5130 5301 5310,4,False,5,2,5175,5175,6,7,7,7,True,7,7,6174
0136,24,0136 0163 0316 0361 0613 0631 1036 1063 1306 1360 1603 1630 3016 3061 3106 3160 3601 3610 6013 6031 6103 6130 6301 6310,4,False,6,2,6174,6174,0,1,1,1,True,1,1,6174
0137,24,0137 0173 0317 0371 0713 0731 1037 1073 1307 1370 1703 1730 3017 3071 3107 3170 3701 3710 7013 7031 7103 7130 7301 7310,4,False,7,2,7173,7173,4,5,5,5,True,5,5,6174
0138,24,0138 0183 0318 0381 0813 0831 1038 1083 1308 1380 1803 1830 3018 3081 3108 3180 3801 3810 8013 8031 8103 8130 8301 8310,4,False,8,2,8172,8172,5,6,6,6,True,6,6,6174
0139,24,0139 0193 0319 0391 0913 0931 1039 1093 1309 1390 1903 1930 3019 3091 3109 3190 3901 3910 9013 9031 9103 9130 9301 9310,4,False,9,2,9171,9171,2,3,3,3,True,3,3,6174
0144,12,0144 0414 0441 1044 1404 1440 4014 4041 4104 4140 4401 4410,3,False,4,3,4266,4266,2,3,3,3,True,3,3,6174
0145,24,0145 0154 0415 0451 0514 0541 1045 1054 1405 1450 1504 1540 4015 4051 4105 4150 4501 4510 5014 5041 5104 5140 5401 5410,4,False,5,3,5265,5265,4,5,5,5,True,5,5,6174
0146,24,0146 0164 0416 0461 0614 0641 1046 1064 1406 1460 1604 1640 4016 4061 4106 4160 4601 4610 6014 6041 6104 6140 6401 6410,4,False,6,3,6264,6264,2,3,3,3,True,3,3,6174
0147,24,0147 0174 0417 0471 0714 0741 1047 1074 1407 1470 1704 1740 4017 4071 4107 4170 4701 4710 7014 7041 7104 7140 7401 7410,4,False,7,3,7263,7263,5,6,6,6,True,6,6,6174
0148,24,0148 0184 0418 0481 0814 0841 1048 1084 1408 1480 1804 1840 4018 4081 4108 4180 4801 4810 8014 8041 8104 8140 8401 8410,4,False,8,3,8262,8262,4,5,5,5,True,5,5,6174
0149,24,0149 0194 0419 0491 0914 0941 1049 1094 1409 1490 1904 1940 4019 4091 4109 4190 4901 4910 9014 9041 9104 9140 9401 9410,4,False,9,3,9261,9261,2,3,3,3,True,3,3,6174
0155,12,0155 0515 0551 1055 1505 1550 5015 5051 5105 5150 5501 5510,3,False,5,4,5355,5355,4,5,5,5,True,5,5,6174
0156,24,0156 0165 0516 0561 0615 0651 1056 1065 1506 1560 1605 1650 5016 5061 5106 5160 5601 5610 6015 6051 6105 6150 6501 6510,4,False,6,4,6354,6354,3,4,4,4,True,4,4,6174
0157,24,0157 0175 0517 0571 0715 0751 1057 1075 1507 1570 1705 1750 5017 5071 5107 5170 5701 5710 7015 7051 7105 7150 7501 7510,4,False,7,4,7353,7353,2,3,3,3,True,3,3,6174
0158,24,0158 0185 0518 0581 0815 0851 1058 1085 1508 1580 1805 1850 5018 5081 5108 5180 5801 5810 8015 8051 8105 8150 8501 8510,4,False,8,4,8352,8352,1,2,2,2,True,2,2,6174
0159,24,0159 0195 0519 0591 0915 0951 1059 1095 1509 1590 1905 1950 5019 5091 5109 5190 5901 5910 9015 9051 9105 9150 9501 9510,4,False,9,4,9351,9351,6,7,7,7,True,7,7,6174
0166,12,0166 0616 0661 1066 1606 1660 6016 6061 6106 6160 6601 6610,3,False,6,5,6444,6444,4,5,5,5,True,5,5,6174
0167,24,0167 0176 0617 0671 0716 0761 1067 1076 1607 1670 1706 1760 6017 6071 6107 6170 6701 6710 7016 7061 7106 7160 7601 7610,4,False,7,5,7443,7443,4,5,5,5,True,5,5,6174
0168,24,0168 0186 0618 0681 0816 0861 1068 1086 1608 1680 1806 1860 6018 6081 6108 6180 6801 6810 8016 8061 8106 8160 8601 8610,4,False,8,5,8442,8442,6,7,7,7,True,7,7,6174
0169,24,0169 0196 0619 0691 0916 0961 1069 1096 1609 1690 1906 1960 6019 6091 6109 6190 6901 6910 9016 9061 9106 9160 9601 9610,4,False,9,5,9441,9441,6,7,7,7,True,7,7,6174
0177,12,0177 0717 0771 1077 1707 1770 7017 7071 7107 7170 7701 7710,3,False,7,6,7533,7533,2,3,3,3,True,3,3,6174
0178,24,0178 0187 0718 0781 0817 0871 1078 1087 1708 1780 1807 1870 7018 7081 7108 7180 7801 7810 8017 8071 8107 8170 8701 8710,4,False,8,6,8532,8532,1,2,2,2,True,2,2,6174
0179,24,0179 0197 0719 0791 0917 0971 1079 1097 1709 1790 1907 1970 7019 7091 7109 7190 7901 7910 9017 9071 9107 9170 9701 9710,4,False,9,6,9531,9531,6,7,7,7,True,7,7,6174
0188,12,0188 0818 0881 1088 1808 1880 8018 8081 8108 8180 8801 8810,3,False,8,7,8622,8622,4,5,5,5,True,5,5,6174
0189,24,0189 0198 0819 0891 0918 0981 1089 1098 1809 1890 1908 1980 8019 8091 8109 8190 8901 8910 9018 9081 9108 9180 9801 9810,4,False,9,7,9621,9621,2,3,3,3,True,3,3,6174
0199,12,0199 0919 0991 1099 1909 1990 9019 9091 9109 9190 9901 9910,3,False,9,8,9711,9711,2,3,3,3,True,3,3,6174
0222,4,0222 2022 2202 2220,2,False,2,0,1998,1998,3,4,4,4,True,4,4,6174
0223,12,0223 0232 0322 2023 2032 2203 2230 2302 2320 3022 3202 3220,3,False,3,0,2997,2997,5,6,6,6,True,6,6,6174
0224,12,0224 0242 0422 2024 2042 2204 2240 2402 2420 4022 4202 4220,3,False,4,0,3996,3996,3,4,4,4,True,4,4,6174
0225,12,0225 0252 0522 2025 2052 2205 2250 2502 2520 5022 5202 5220,3,False,5,0,4995,4995,5,6,6,6,True,6,6,6174
0226,12,0226 0262 0622 2026 2062 2206 2260 2602 2620 6022 6202 6220,3,False,6,0,5994,5994,5,6,6,6,True,6,6,6174
0227,12,0227 0272 0722 2027 2072 2207 2270 2702 2720 7022 7202 7220,3,False,7,0,6993,6993,3,4,4,4,True,4,4,6174
0228,12,0228 0282 0822 2028 2082 2208 2280 2802 2820 8022 8202 8220,3,False,8,0,7992,7992,5,6,6,6,True,6,6,6174
0229,12,0229 0292 0922 2029 2092 2209 2290 2902 2920 9022 9202 9220,3,False,9,0,8991,8991,3,4,4,4,True,4,4,6174
0233,12,0233 0323 0332 2033 2303 2330 3023 3032 3203 3230 3302 3320,3,False,3,1,3087,3087,2,3,3,3,True,3,3,6174
0234,24,0234 0243 0324 0342 0423 0432 2034 2043 2304 2340 2403 2430 3024 3042 3204 3240 3402 3420 4023 4032 4203 4230 4302 4320,4,False,4,1,4086,4086,6,7,7,7,True,7,7,6174
0235,24,0235 0253 0325 0352 0523 0532 2035 2053 2305 2350 2503 2530 3025 3052 3205 3250 3502 3520 5023 5032 5203 5230 5302 5320,4,False,5,1,5085,5085,6,7,7,7,True,7,7,6174
0236,24,0236 0263 0326 0362 0623 0632 2036 2063 2306 2360 2603 2630 3026 3062 3206 3260 3602 3620 6023 6032 6203 6230 6302 6320,4,False,6,1,6084,6084,6,7,7,7,True,7,7,6174
0237,24,0237 0273 0327 0372 0723 0732 2037 2073 2307 2370 2703 2730 3027 3072 3207 3270 3702 3720 7023 7032 7203 7230 7302 7320,4,False,7,1,7083,7083,2,3,3,3,True,3,3,6174
0238,24,0238 0283 0328 0382 0823 0832 2038 2083 2308 2380 2803 2830 3028 3082 3208 3280 3802 3820 8023 8032 8203 8230 8302 8320,4,False,8,1,8082,8082,2,3,3,3,True,3,3,6174
0239,24,0239 0293 0329 0392 0923 0932 2039 2093 2309 2390 2903 2930 3029 3092 3209 3290 3902 3920 9023 9032 9203 9230 9302 9320,4,False,9,1,9081,9081,3,4,4,4,True,4,4,6174
0244,12,0244 0424 0442 2044 2404 2440 4024 4042 4204 4240 4402 4420,3,False,4,2,4176,4176,1,2,2,2,True,2,2,6174
0245,24,0245 0254 0425 0452 0524 0542 2045 2054 2405 2450 2504 2540 4025 4052 4205 4250 4502 4520 5024 5042 5204 5240 5402 5420,4,False,5,2,5175,5175,6,7,7,7,True,7,7,6174
0246,24,0246 0264 0426 0462 0624 0642 2046 2064 2406 2460 2604 2640 4026 4062 4206 4260 4602 4620 6024 6042 6204 6240 6402 6420,4,False,6,2,6174,6174,0,1,1,1,True,1,1,6174
0247,24,0247 0274 0427 0472 0724 0742 2047 2074 2407 2470 2704 2740 4027 4072 4207 4270 4702 4720 7024 7042 7204 7240 7402 7420,4,False,7,2,7173,7173,4,5,5,5,True,5,5,6174
0248,24,0248 0284 0428 0482 0824 0842 2048 2084 2408 2480 2804 2840 4028 4082 4208 4280 4802 4820 8024 8042 8204 8240 8402 8420,4,False,8,2,8172,8172,5,6,6,6,True,6,6,6174
0249,24,0249 0294 0429 0492 0924 0942 2049 2094 2409 2490 2904 2940 4029 4092 4209 4290 4902 4920 9024 9042 9204 9240 9402 9420,4,False,9,2,9171,9171,2,3,3,3,True,3,3,6174
0255,12,0255 0525 0552 2055 2505 2550 5025 5052 5205 5250 5502 5520,3,False,5,3,5265,5265,4,5,5,5,True,5,5,6174
0256,24,0256 0265 0526 0562 0625 0652 2056 2065 2506 2560 2605 2650 5026 5062 5206 5260 5602 5620 6025 6052 6205 6250 6502 6520,4,False,6,3,6264,6264,2,3,3,3,True,3,3,6174
0257,24,0257 0275 0527 0572 0725 0752 2057 2075 2507 2570 2705 2750 5027 5072 5207 5270 5702 5720 7025 7052 7205 7250 7502 7520,4,False,7,3,7263,7263,5,6,6,6,True,6,6,6174
0258,24,0258 0285 0528 0582 0825 0852 2058 2085 2508 2580 2805 2850 5028 5082 5208 5280 5802 5820 8025 8052 8205 8250 8502 8520,4,False,8,3,8262,8262,4,5,5,5,True,5,5,6174
0259,24,0259 0295 0529 0592 0925 0952 2059 2095 2509 2590 2905 2950 5029 5092 5209 5290 5902 5920 9025 9052 9205 9250 9502 9520,4,False,9,3,9261,9261,2,3,3,3,True,3,3,6174
0266,12,0266 0626 0662 2066 2606 2660 6026 6062 6206 6260 6602 6620,3,False,6,4,6354,6354,3,4,4,4,True,4,4,6174
0267,24,0267 0276 0627 0672 0726 0762 2067 2076 2607 2670 2706 2760 6027 6072 6207 6270 6702 6720 7026 7062 7206 7260 7602 7620,4,False,7,4,7353,7353,2,3,3,3,True,3,3,6174
