start,start_state,digit_multiset,x,y,first_result,first_result_state,distance_to_6174,trajectory
1938,1938,1389,8,5,8442,8442,7.0,1938 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1949,1949,1499,8,5,8442,8442,7.0,1949 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1950,1950,0159,9,4,9351,9351,7.0,1950 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1960,1960,0169,9,5,9441,9441,7.0,1960 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
1961,1961,1169,8,5,8442,8442,7.0,1961 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1970,1970,0179,9,6,9531,9531,7.0,1970 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1972,1972,1279,8,5,8442,8442,7.0,1972 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1983,1983,1389,8,5,8442,8442,7.0,1983 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1994,1994,1499,8,5,8442,8442,7.0,1994 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2005,2005,0025,5,2,5175,5175,7.0,2005 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2014,2014,0124,4,1,4086,4086,7.0,2014 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2015,2015,0125,5,1,5085,5085,7.0,2015 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2016,2016,0126,6,1,6084,6084,7.0,2016 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2034,2034,0234,4,1,4086,4086,7.0,2034 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2035,2035,0235,5,1,5085,5085,7.0,2035 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2036,2036,0236,6,1,6084,6084,7.0,2036 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2041,2041,0124,4,1,4086,4086,7.0,2041 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2043,2043,0234,4,1,4086,4086,7.0,2043 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2045,2045,0245,5,2,5175,5175,7.0,2045 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2050,2050,0025,5,2,5175,5175,7.0,2050 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2051,2051,0125,5,1,5085,5085,7.0,2051 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2053,2053,0235,5,1,5085,5085,7.0,2053 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2054,2054,0245,5,2,5175,5175,7.0,2054 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2061,2061,0126,6,1,6084,6084,7.0,2061 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2063,2063,0236,6,1,6084,6084,7.0,2063 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2069,2069,0269,9,4,9351,9351,7.0,2069 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2078,2078,0278,8,5,8442,8442,7.0,2078 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2079,2079,0279,9,5,9441,9441,7.0,2079 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2087,2087,0278,8,5,8442,8442,7.0,2087 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2089,2089,0289,9,6,9531,9531,7.0,2089 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2096,2096,0269,9,4,9351,9351,7.0,2096 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2097,2097,0279,9,5,9441,9441,7.0,2097 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2098,2098,0289,9,6,9531,9531,7.0,2098 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2104,2104,0124,4,1,4086,4086,7.0,2104 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2105,2105,0125,5,1,5085,5085,7.0,2105 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2106,2106,0126,6,1,6084,6084,7.0,2106 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2115,2115,1125,4,1,4086,4086,7.0,2115 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2116,2116,1126,5,1,5085,5085,7.0,2116 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2117,2117,1127,6,1,6084,6084,7.0,2117 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2135,2135,1235,4,1,4086,4086,7.0,2135 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2136,2136,1236,5,1,5085,5085,7.0,2136 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2137,2137,1237,6,1,6084,6084,7.0,2137 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2140,2140,0124,4,1,4086,4086,7.0,2140 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2146,2146,1246,5,2,5175,5175,7.0,2146 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2150,2150,0125,5,1,5085,5085,7.0,2150 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2151,2151,1125,4,1,4086,4086,7.0,2151 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2153,2153,1235,4,1,4086,4086,7.0,2153 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2160,2160,0126,6,1,6084,6084,7.0,2160 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2161,2161,1126,5,1,5085,5085,7.0,2161 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2163,2163,1236,5,1,5085,5085,7.0,2163 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2164,2164,1246,5,2,5175,5175,7.0,2164 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
