start,start_state,is_repdigit,distinct_digits,digit_multiset,x,y,descending,ascending,first_result,first_result_state,trajectory,final_attractor,final_attractor_state,iterations_to_attractor,distance_to_6174,distance_to_0000,reaches_6174,reaches_0000,other_cycle_detected,cycle_length,cycle
85,0085,False,3,0058,8,5,8500,58,8442,8442,0085 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
86,0086,False,3,0068,8,6,8600,68,8532,8532,0086 -> 8532 -> 6174 -> 6174,6174,6174,2,2,,True,False,False,1,6174 -> 6174
87,0087,False,3,0078,8,7,8700,78,8622,8622,0087 -> 8622 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
88,0088,False,2,0088,8,8,8800,88,8712,8712,0088 -> 8712 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
89,0089,False,3,0089,9,8,9800,89,9711,9711,0089 -> 9711 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
90,0090,False,2,0009,9,0,9000,9,8991,8991,0090 -> 8991 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
91,0091,False,3,0019,9,1,9100,19,9081,9081,0091 -> 9081 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
92,0092,False,3,0029,9,2,9200,29,9171,9171,0092 -> 9171 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
93,0093,False,3,0039,9,3,9300,39,9261,9261,0093 -> 9261 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
94,0094,False,3,0049,9,4,9400,49,9351,9351,0094 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
95,0095,False,3,0059,9,5,9500,59,9441,9441,0095 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
96,0096,False,3,0069,9,6,9600,69,9531,9531,0096 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
97,0097,False,3,0079,9,7,9700,79,9621,9621,0097 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
98,0098,False,3,0089,9,8,9800,89,9711,9711,0098 -> 9711 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
99,0099,False,2,0099,9,9,9900,99,9801,9801,0099 -> 9801 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
100,0100,False,2,0001,1,0,1000,1,999,0999,0100 -> 0999 -> 8991 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
101,0101,False,2,0011,1,1,1100,11,1089,1089,0101 -> 1089 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
102,0102,False,3,0012,2,1,2100,12,2088,2088,0102 -> 2088 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
103,0103,False,3,0013,3,1,3100,13,3087,3087,0103 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
104,0104,False,3,0014,4,1,4100,14,4086,4086,0104 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
105,0105,False,3,0015,5,1,5100,15,5085,5085,0105 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
106,0106,False,3,0016,6,1,6100,16,6084,6084,0106 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
107,0107,False,3,0017,7,1,7100,17,7083,7083,0107 -> 7083 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
108,0108,False,3,0018,8,1,8100,18,8082,8082,0108 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
109,0109,False,3,0019,9,1,9100,19,9081,9081,0109 -> 9081 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
110,0110,False,2,0011,1,1,1100,11,1089,1089,0110 -> 1089 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
111,0111,False,2,0111,1,0,1110,111,999,0999,0111 -> 0999 -> 8991 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
112,0112,False,3,0112,2,0,2110,112,1998,1998,0112 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
113,0113,False,3,0113,3,0,3110,113,2997,2997,0113 -> 2997 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
